"[['a', ['xa', 'i']], ['a', ['a', 'i']]]",1
[],0
"[['a', ['xa', 'i']], ['a', ['a', 'i']]]",1
[],0
"[['a', ['xa', 'i']]]",0
"[['a', ['xa', 'i']], ['a', ['a', 'i']]]",1
[],0
"[['a', ['xa', 'i']]]",0
"[['a', ['xa', 'i']], ['a', ['a', 'i']]]",1
[],0
"[['a', ['xa', 'i']], ['a', ['a', 'i']], ['a', ['xa', 'j']], ['a', ['a', 'j']]]",1
"[['a', ['xa', 'i']], ['a', ['xa', 'j']], ['a', ['a', 'j']]]",0
"[['a', ['xa', 'i']], ['a', ['a', 'i']], ['a', ['a', 'j']]]",1
"[['a', ['xa', 'i']], ['a', ['a', 'i']], ['a', ['xa', 'j']]]",0
"[['a', ['xa', 'j']]]",0
"[['a', ['xa', 'i']], ['a', ['xa', 'j']], ['a', ['a', 'j']]]",0
"[['a', ['a', 'i']], ['a', ['xa', 'j']], ['a', ['a', 'j']]]",1
"[['a', ['xa', 'i']], ['a', ['a', 'j']]]",0
"[['a', ['a', 'i']], ['a', ['a', 'j']]]",1
"[['a', ['xa', 'j']], ['a', ['a', 'j']]]",0
"[['a', ['xa', 'i']], ['a', ['a', 'j']], ['a', ['xa', 'k']]]",0
"[['a', ['xa', 'i']], ['a', ['a', 'i']], ['a', ['xa', 'k']]]",0
"[['a', ['xa', 'j']], ['a', ['xa', 'k']]]",0
"[['a', ['xa', 'i']], ['a', ['a', 'i']], ['a', ['xa', 'j']], ['a', ['a', 'k']]]",0
"[['a', ['xa', 'i']], ['a', ['a', 'j']], ['a', ['xa', 'k']], ['a', ['a', 'k']]]",0
"[['a', ['xa', 'i']], ['a', ['a', 'i']]]",0
"[['a', ['xa', 'i']], ['a', ['a', 'i']], ['a', ['a', 'j']], ['a', ['a', 'k']]]",1
"[['a', ['a', 'i']], ['a', ['xa', 'k']], ['a', ['a', 'k']]]",0
"[['a', ['xa', 'i']], ['a', ['xa', 'j']], ['a', ['a', 'j']], ['a', ['xa', 'k']]]",0
"[['a', ['xa', 'j']], ['a', ['a', 'j']], ['a', ['xa', 'k']], ['a', ['a', 'k']]]",0
"[['a', ['xa', 'b', 'i']], ['a', ['a', 'b', 'i']]]",1
"[['b', ['xa', 'b', 'i']], ['b', ['a', 'b', 'i']]]",0
"[['a', ['xa', 'b', 'i']], ['a', ['a', 'xb', 'i']]]",0
"[['b', ['xa', 'b', 'i']], ['b', ['a', 'xb', 'i']]]",0
"[['a', ['xa', 'xb', 'i']], ['a', ['xa', 'b', 'i']], ['a', ['a', 'xb', 'i']], ['a', ['a', 'b', 'i']]]",1
"[['b', ['xa', 'xb', 'i']], ['b', ['xa', 'b', 'i']], ['b', ['a', 'xb', 'i']], ['b', ['a', 'b', 'i']]]",1
"[['a', ['xa', 'xb', 'i']], ['a', ['xa', 'b', 'i']], ['a', ['a', 'xb', 'i']], ['a', ['a', 'b', 'i']]]",1
"[['b', ['xa', 'xb', 'i']], ['b', ['xa', 'b', 'i']], ['b', ['a', 'xb', 'i']], ['b', ['a', 'b', 'i']]]",1
"[['a', ['xa', 'xb', 'i']], ['a', ['xa', 'b', 'i']]]",0
"[['b', ['xa', 'xb', 'i']], ['b', ['xa', 'b', 'i']]]",0
"[['a', ['xa', 'xb', 'i']], ['a', ['xa', 'b', 'i']], ['a', ['a', 'xb', 'i']]]",0
"[['b', ['xa', 'xb', 'i']], ['b', ['xa', 'b', 'i']], ['b', ['a', 'xb', 'i']]]",0
"[['a', ['xa', 'xb', 'i']], ['a', ['xa', 'b', 'i']]]",0
"[['b', ['xa', 'xb', 'i']], ['b', ['xa', 'b', 'i']]]",0
"[['a', ['a', 'xb', 'i']], ['a', ['a', 'b', 'i']]]",0
"[['b', ['a', 'xb', 'i']], ['b', ['a', 'b', 'i']]]",1
"[['a', ['xa', 'b', 'i']], ['a', ['a', 'xb', 'i']], ['a', ['a', 'b', 'i']]]",1
"[['b', ['xa', 'b', 'i']], ['b', ['a', 'xb', 'i']], ['b', ['a', 'b', 'i']]]",1
"[['a', ['xa', 'xb', 'i']], ['a', ['a', 'xb', 'i']]]",0
"[['b', ['xa', 'xb', 'i']], ['b', ['a', 'xb', 'i']]]",0
"[['a', ['xa', 'xb', 'j']], ['a', ['a', 'xb', 'j']]]",0
"[['b', ['xa', 'xb', 'j']], ['b', ['a', 'xb', 'j']]]",0
"[['a', ['a', 'b', 'i']], ['a', ['xa', 'xb', 'j']]]",0
"[['b', ['a', 'b', 'i']], ['b', ['xa', 'xb', 'j']]]",0
"[['a', ['a', 'b', 'i']]]",0
"[['b', ['a', 'b', 'i']]]",0
"[['a', ['xa', 'xb', 'i']], ['a', ['a', 'xb', 'i']], ['a', ['a', 'b', 'i']], ['a', ['a', 'b', 'j']]]",0
"[['b', ['xa', 'xb', 'i']], ['b', ['a', 'xb', 'i']], ['b', ['a', 'b', 'i']], ['b', ['a', 'b', 'j']]]",0
"[['a', ['xa', 'xb', 'i']], ['a', ['xa', 'b', 'i']], ['a', ['a', 'xb', 'i']], ['a', ['a', 'b', 'i']], ['a', ['xa', 'b', 'j']], ['a', ['a', 'b', 'j']]]",1
"[['b', ['xa', 'xb', 'i']], ['b', ['xa', 'b', 'i']], ['b', ['a', 'xb', 'i']], ['b', ['a', 'b', 'i']], ['b', ['xa', 'b', 'j']], ['b', ['a', 'b', 'j']]]",0
"[['a', ['a', 'xb', 'i']], ['a', ['xa', 'xb', 'j']], ['a', ['xa', 'b', 'j']], ['a', ['a', 'b', 'j']]]",0
